code,ko_name,en_name,description,page
CHE1002,일반화학및실험,(2) General Chemistry and Laboratory (2),"원자와 분자의 미시적 구조에 대한 이해를 바탕으로 기체 액체 고체의 특성을 살펴보고 이들에 대한 산 염기반응을 포함하는 , 포괄적인 화학반응과 착화합물 그리고 전기화학을 논의한다 이를 바탕으로 해당 전공분야에 관련된 화학적 기초지식을 . 강의한다. ,",134
SCI2001,전자계산(1) Computer (1),"과학기술용 컴퓨터 프로그래밍 입문 하드웨어와 소프트웨어의 기본 개념을 전달하며 컴퓨터 언어 문법을 학습하고 이를 바탕으로 프로그래밍을 실습함으로써 실제 과학기술 문제를 컴퓨터로 해결하는 방법을 배운다 . (C/C++, PYTHON , , 전자계산 (2) Computer (2) .",134
SCI2002,전자계산(2) Computer (2), 언어 문법을 과학기술용 컴퓨터 프로그래밍 입문 하드웨어와 소프트웨어의 기본 개념을 전달하며 컴퓨터 언어 (FORTRAN) 학습하고 이를 바탕으로 구조화 프로그래밍을 실습함으로써 실제 과학기술 문제를 컴퓨터로 해결하는 방법을 배운다 .,", 등 ) 】 수학과【 역사적으로 과학의 발달은 논리적인 사고체계의 확립과 이를 표현하는 기호의 논리에 근간을 두어 왔으며 기호가 양적 인 것들을 표현할 때 수학은 이들 사이의 관계를 이해하는데 필수적이었다 수학은 물리 화학 생물 천문학 등의 자연과학 과 기계 전자 화공 전산 의학 경제학 등의 응용과학을 망라한 모든 분야의 기초 이론에 응용되고 있으며 각 분야에서 발 생하는 여러 문제를 해결하기 위한 논리적인 체계와 아이디어를 제공하고 있다 최근에 들어 이러한 수학과 과학 전반의 밀 접한 관계는 더욱 새롭게 정립되고 강화되고 있는 경향이다 따라서 수학을 공부하여 튼튼한 학문적 기초를 쌓는 것은 계속 . 수학을 전공하려는 학생에게는 물론이고 여타 관련 학문을 전공하려는 학생에게도 필수적이라 하겠다 , . , , , , , , , , , . . , 수학분야는 크게 순수수학과 응용수학으로 분류되지만 응용수학의 대부분 이론이 순수수학의 깊이 있는 이론을 바탕으로 하여 발전하고 있으며 다른 한편으로는 응용수학적 문제로부터 동기를 얻어 순수수학이 발전되기도 함으로 그 뚜렷한 차이는 분명치 않다 복잡한 자연현상 및 산업문제를 수학을 통하여 논리적으로 분석함으로써 단순화하는 것은 수학의 중요한 역할 중 하나이다 최근 많은 수학자들이 수학의 이론을 바탕으로 여러 자연현상을 수리적으로 규명함으로써 자연과학 및 공학 분 야의 발전에 많은 기여를 하고 있다. . . □ 교육 목적과 교육 목표 우리 수학과는 논리적인 사고체계의 확립과 이를 표현하는 기호의 논리에 근간을 두어 정보 개방화된 수학교육과정 편 성 첨단과학기술 관련분야의 전략적인 인재 프로그램 운영을 하고 있다 기독교적인 교육이념인 자유와 진리의 정신을 바탕 으로 기초적인 학문에 관점을 두고 있으며 자연과학과 기계 전자 화공 전산 의학 경제학 등 응용과학을 망라한 모든 분 야의 기초 이론 중심으로 국제 경쟁력을 갖춘 수학전문 인력양성 정보 개방화된 교육환경 조성 첨단과학기술 수학분야 금 융수학 사회과학 및 인문과학과의 융합적인 교육과정을 연계해 전문적인 역량을 지닌 전문 인력양성을 지향하고 있다 , . , ‧ , , , , , , , , . , 이과대학 ■ 133",134
MAT2102 *,선형대수,(1)(Linear Algebra(1)),"행렬과 연립방정식계 (Linear Transformations and Matrix Representations), 내적공간 Eigenvalues). (Matrices and System of Linear Equations), 백터공간 (Vector Spaces), 일차변환과 행렬표현 겹선형형식과 (Eigenvectors and 벡터공간의 구조 (Structure of Vector Spaces), 고유벡터와 고유값 (Bilinear Forms and Inner Product Spaces), (Determinants), 행렬식",137
MAT3104,해석학(1)(Analysis(1)) 수열과 급수 연속함수의 성질 다변수함수의 해석 수,"해석학 , 정리 현대대수 ： (Finite Abelian Groups), ： ； (Integral Domain), 페르마정리",", , , contraction 적분 선형작용소 , Riemann-Stieltjes 법칙 함수의 수열과 급 , , Stone-Weierstrass 정리 , Ascoli",137
MAT3109,현대대수(1)(Modern Algebra(1)),"(Monoids and Groups),","(Classifying Groups), 의 정 (Isomorphism 주아이디얼정역 군의 분류 정규부분군 (Normal Subgroups), 모노이드와 군 군 (Groups) 유한가환군 리 Theorems), (Principal Ideal Domains), (Generators and Relations), 생성자와 관계 아이디얼과 잉여환 오일러정리 (Fermat Theorem) (Group Actions), Sylow 군의 작용 (Ideals and Quotient Rings), 유클리드정역 (Sylow Theorems) 환 동형사상정리 (Euclidean Domains), (Rings) 정역 (Euler Theorem), 2. 전공선택 136 ■ 2025 연세대학교 대학요람",137
MAT2003,주니어세미나,"(Junior Seminar ) ,","수학 기초학문 분야 최신이론 소개 전문적인 학문동향제시 전공별 연구방법 학생이 주체가 되어 시행하는 프로젝트 중심의 교 과운영. , ,",138
MAT2102 *,선형대수,(1)(Linear Algebra(1)),"행렬과 연립방정식계 (Linear Transformations and Matrix Representations), 내적공간 Eigenvalues). (Matrices and System of Linear Equations), 백터공간 (Vector Spaces), 일차변환과 행렬표현 겹선형형식과 (Eigenvectors and 벡터공간의 구조 (Structure of Vector Spaces), 고유벡터와 고유값 (Bilinear Forms and Inner Product Spaces), (Determinants), 행렬식",138
MAT2103,"통계학 ,","(Statistics) ,","확률의 정의 확률공간 확률변수 확률분포 등 확률론의 기본개념 확률표본 표본분포 통계적 추론의 기본개념 여러 모수의 추정 가설검정 상관과 회귀 분산분석 범주형 자료분석 등을 강의하고 통계팩키지로 , , , , , , , , SAS, SPSS , 등을 실습 .",138
MAT2104,"집합론 집합의 연산 함수와 관계 , 과학계산",(Set Theory),", cardinal (Scientific Computing) 수 순서수 선택공리 여러 가지 , , , 집합론 . paradoxes, Zermelo Fraenkel",138
"MAT2105 Unix , GNUplot, Floating point representation, Bisection method, Newton’s method, Interpolation and numerical differentiation, Numerical Integration",환경과,"Windows, symbolic software package (Maple","또는 Mathematica), Matlab, Fortran 등 수학문제를 해결하는데 필요한 컴퓨터를 다루는 기본적인 방법을 소개 . 과 언어 C",138
MAT2106,(Discrete Mathematics) 집합과 관계 알고리즘과 분석 회귀관계 기초 정수론 그래프 이론 고안과 구성,"이산수학 , , Turing",", , , 기계 . , Boolean 대수 논리적회로 언어와 문법 유한상황 기계의 , , ,",138
MAT2421 *,상미분방정식,(Ordinary Differential Equations ),"물리적 세계의 대부분의 현상들은 미분방정식으로 설명된다 기초적인 미분방정식 이론의 습득을 위하여 선형미분방정식 관련 변환 멱급수 전개법 등을 공부한다 여러 가지 응용을 위하여 가장 기초적인 선형 미분방정식인 . Laplace 함수법 경계치 문제 등을 공부한다 상수 계수 고차 상미분 방정식계의 , Legendre . 에 대해서도 배운다 해법과 관련하여 . . , Fourier 변환 , 방정식 등과 함께 basic linear algebra, matrix eigenvalue 방정식 , Bessel Green",138
MAT3101,대수적위상수학,(Algebraic Topology),"Homotopy, Simplical complexes, Fundamental 군 Homology , Homology 사상 부동점 정리 쌍대성 . , , 군 , Covering 공간 , CW-complexes, 단체 복체와 다면체 , ,",138
MAT3102,"미분기하 (2)(Geometry(2)) , , 정리와 응용 . 미분기하 (1)(Geometry(1)) ,",", , Gauss-Bonnet","공변도함수 틀장 접속형식 구조방정식 모양연산자 법곡률 가우스곡률 측지선 기본방정식 방향과 적분 전곡률 공변도함 수 , , , , , , , ,",138
"MAT3103 , , Stokes",", Frenet ,",,"접벡터 미분형식 곡선의 개념 식 , 의 정리 곡면의 위상적성질 다양체 , , 공식 공간의 등장사상 방향 곡선의 합동 곡면의 개념 접평면 곡면위에서의 미분형 , , , ,",138
MAT3105,해석학,(2)(Analysis(2)) 함수정리,"역함수정리 , Implicit , Rank 정리 기저함수 푸리에 해석 적분론 , , , , Lagrange Multiplier 등",138
MAT3110,"현대대수 소아이디얼과 극대아이디얼 (Polynomial Rings), (Unique Factorization Domains), ； 유한체 theorem) (Finite fields), (Fields) (Ruler and Compass Construction and Solving Equations by Radicals), 분리 화대체 식의 분해체 ： Extensions)",(2)(Modern Algebra(2)),"(Prime ideals and Maximal ideals), 정역의 분수체 다항식환 중국의 나머지정리 (Chinese remainder 작도 불능 문제와 차 방정식 풀이 불가능 5 다항 초월 수 (Transcendental Numbers), (Galois (The Field of Fractions), 유일인수분해정역 ： 체의 확장 (Field Extensions), 체 갈루와군 갈루와확장 (Galois Group), (Splitting Fields), ； (Seperable Extensions), (Coding Theory), 암호이론 부호이론 응용 (Applied Algebra) (Cryptology)",138
MAT3111 *,확률론,(Probability Theory),"확률공간상에 정의된 확률변수 확률변수의 확률분포 그의 평균 및 분산 대표적인 확률분포 등을 다루고 , large numbers, Central limit theorem, Conditional probability and expectation , , 등을 소개 . , Tail bound, Law of",138
MAT3112,복소해석학,(Complex Analysis),"Cauchy's theorem, Conformal mapping, Harmonic functions, Gamma function, the Riemann zeta function, Phragm n-Lindel f principle, Hadamard's factorization theorem, Elliptic functions. é ö 이과대학 ■ 137",138
MAT3113,"확률과정론 (Stochastic Processes) 조건부 확률 확률과정의 개념 , renewal , Markov 확률현상을 갖는 금융문제를 비롯한 여러 수리모형에의 응용을 다룬다.",,", 연쇄 , Poisson 과정 가정 마팅게일 , (martingale) 등의 초보적 확률과정론과",139
MAT3114,수치해석,(Numerical Analysis),"미분방정식의 수치해법 수치선형대수 최소제곱법 반복법 선형연립방정식의 수치해법 유한차분법 고유값 계산법 최적화 (Optimization). 수리논리 , , , , , , (Mathematical Logic)",139
MAT3117,",",,"명제논리와 술어논리의 의미론적 및 형식 체제론과 ὅ G del 의 불완전성 정리 증명 인공지능을 위한 논리 . ,",139
MAT3118,편미분방정식,(Partial Differential Equations),"1 계 비선형편미분방정식 , Laplace 방정식 열방정식 파동방정식 변수분리법 경계치 및 초기치 문제 해의 유일성 및 존재성 . , , , , ,",139
MAT3119,"조합론 ,",(Combinatorics),"조합론의 기초 일대일 대응생성함수 점화 관계식 포함 불포함 정수의 분할 그래프이론 회로와 색칠하기 나무와 찾기 네트 , 웍 알고리즘. , , , , , ,",139
"MAT3120 선형모델 Squares), (Spectral Theory), 계획법","선형대수 (Linear Models),",(2)(Linear Algebra(2)),"행렬대수 직교성과 최소자승법 (Orthogonality and Least 스펙트럼이론 선형 (Matrix Algebra with Applications), (Eigenvectors and Eigenvalues), (Quadratic Forms), (Complex Vector Spaces), (Minimum Polynomial and Jordan Form), 복소백터공간 고유백터와 고유값 이차형식 극소다항식과 표준형 (Numerical Linear Algebra). 수치선형대수 (Linear Programming),",139
MAT3121,"정수론 ,",(Number Theory),"소수와 합성수 합동 , quadratic reciprocity law, 수론함수 , Diophantine 방정식 원시근 연분수 . , ,",139
MAT3122,"위상수학 (General Topology) 거리위상 연속함수 수렴성 완비공간 컴팩트성 곡선 위상 부분공간 적공간 상공간 분리공간 , Peano , , , , 정리 컴팩트화 거리화 고른공간 연결성 중간치 정리 , , , , Tychonoff (Fourier Analysis and its Applications)",,", , , , Urysohn , , 보조정리 등 기타 여러 응용문제 소개 . , MAT3984 Fourier 론 확률론 기하 등의 주요문제들에 후리에 급수의 응용 , theorem. Fourier , fractal 푸리에해석및응용 급수의 점별수렴성과 평균수렴성 . Parserval theorem, Riemann-Lebesgue lemma. 기초 편미분 방정식 정수 Fourier inversion formula, Plancherel , 변환의 성질 및 , . Fourier Wave Equation . Finite Fourier series 에의 응용 변환의 와 해석적 정수론의 Dirichlet Theorem.",139
MAT3985,수학사,(History of Mathematics),"우주와 지구의 탄생 그리고 지구상에서 인류가 이루어 낸 문명의 발전상을 공부한다 이를 위하여 고대로부터 현대에 이르기까 지 인간 문화의 토대가 되어온 서양의 수학과 사회 문화의 발전 과정을 알아본다 또한 동양 삼국 한중일의 수학 역사에 관해서 도 알아본다 그리하여 동양은 왜 서양에 뒤처지게 되었는지 생각해보고 미래를 대비하기 위하여 우리는 무엇을 해야하는지 깨닫 는 시간을 가진다 또한 인류 문명의 역사에 미친 영향이 큰 도서를 읽어 그 배경에 숨어있는 수학의 역할을 생각해보고 그 발 전이 사회 전반에 끼친 영향에 대해서도 살펴본다. , . . , . . , ,",139
MAT3123 기계학습과응용(Machine Learning and its applications),"Python, Numpy, Pandas, Matplotlib, Logistic Regression, Clustering, Dimensionality Reduction, CNN, RNN, Autoencoder, GAN",,"자료얻기 (How to get data), 텐서플로어 (Tensorflow), 회귀분석 (Regression),",139
MAT4120 복소기하(Complex Geometry),"Several complex variables, Complex manifolds, Affine varieties, Projective varieties, Sheaf theory, Cech cohomology, de Rham cohomology, Dolbeault cohomology, Algebraic cycles, Poincare duality, Harmonic forms, Hodge decomposition, Hodge conjecture, the popular version, Hodge conjecture, the general version",MAT4105,"수학특강 (1),(2)(Topics in Mathmatics (1),(2) ) 수학분야의 최근 동향을 소개하는 과목으로 첨단 수학분야에서 활발히 연구되는 내용들을 소개한다 매학기 가장 적합하고 흥미 로운 주제를 선택함. .",139
MAT4108,호몰로지대수,(Homology Algebra),"대수학과 관련하여 대학원에서 연구되는 분야들을 소개한다 코 호몰로지 이론을 포함하여 격자론 다항식과 부호이론 암호학 ) 군과 그 응용 환과 그 응용 등과 같이 고등대수학의 기초 및 그 응용을 주로 한다 . . ( , , ,",139
MAT4112,체론 대수적 확장체,"(Field Theory) , Normal & separable extensions,",". 갈로아 이론과 응용 자와 컴퍼스와 작도 차 방정식의 해의 존재성 : , 5 138 ■ 2025 연세대학교 대학요람 , ,",139
MAT4115,암호론 고전체계의 암호,"(Cryptography) , Shannon","의 정리 , DES, RSK, Knapsack 문제 공개키 암호체계 인증 키분배 . , , ,",140
MAT4116,보험및금융수학,(Actuarial & Financial Mathematics),"보험의 기본개념을 이해하고 보험사업에 대한 이해를 증진시킨다 보험료 책임준비금 등의 산출을 통한 보험수리의 기초지식을 . 확보하고 보험전문가인 보험계리사의 업무 및 역할 등을 이해한다. ,",140
MAT4117,전산통계학,(Computational Statistics),"통계적 추론의 기본 개념을 기초로 회귀분석 분산분석 범주형 자료분석 시계열분석 통계적 실험계획법 등 통계분석의 법들을 이해하고 실습한다 실제 자료의 분석을 통하여 통계 팩키지 , , , , . , SAS, SPSS, MINITAB, BMDP 등을 숙달한다 . 여러 방",140
MAT4119,금융수학,(Financial Mathematics),"금융문제에 대한 수학적 모델을 이해하고 가격이론 및 헤징이론 등에 대한 확률적 및 해석적 접근방법을 익히는 것이 이 수업의 기본 목표이다 수업내용으로서 기초자산 파생금융상품 브라운 운동 마팅게일 표현정리 이항모델 확률미적분학 블랙 숄즈 , 이론 이색옵션의 가격방정식 채권가격이론 등을 포함한다 . , . , , , , , ,",140
MAT4331,대수기하,(Algebraic Geometry),"Varieties, Morphisms, Rational maps, Hilbert polynomial, Bezout's Theorem, Sheaves, Schemes, Separated and proper morphisms, Sheaves of Modules",140
MAT2014,"수학과프로그래밍 ,",(Math and Programming),파이썬을 이해하고 이를 통하여 수학적인 사고의 깊이를 넓히며 머신러닝의 기본적인 개념을 소개한다 .,140
MAT2082,수학진로탐색,1(Expedition to Math World 1),"수학전공 학생들에게 진로를 계획해 볼 기회를 제공함 수학공부를 통해서 진로를 개척한 수학분야 교수들과 여러분야 전문가들 의 경험을 담은 전공과 진로소개 강연을 진행함 (1) (2) MAT2083 . : : 수학진로탐색 전공소개 예 여러 전공분야의 이슈와 발전방향 전공을 잘 배우기 위한 다양한 ) , 진로소개 예 연구과정에서의 경험담 최근의 동향 타분야와의 연결성 2(Expedition to Math World 2) ( ( , job Tip) , 수학전공 학생들에게 진로를 계획해 볼 기회를 제공함 수학공부를 통해서 진로를 개척한 수학분야 교수들과 여러분야 전문가들 의 경험을 담은 전공과 진로소개 강연을 진행함 (1) (2) . ( ( 전공소개 예 여러 전공분야의 이슈와 발전방향 전공을 잘 배우기 위한 다양한 ) , 진로소개 예 연구과정에서의 경험담 최근의 동향 타분야와의 연결성 : : , job Tip) ,",140
TTP3812,수학교재연구및지도법 2,(Studies in Mathematical Teaching Materials),"교육부에서 발간한 종도서 중ㆍ고교 수학교재 의 내용과 교육과정을 수학교육의 목표와 비교 검토 피아제의 발달심리학과 구 조주의의 견지에서 교수 학습의 모형을 정리 발견학습 프로그래밍학습 완전학습 등을 비교 분석하고 이를 바탕으로 교수학습 모형 탐구. ( ) . , , ,",140
TTP4009 수학교육의 필요성과 목적 국내외 수학교육 과정 수학교육철학 수학교육의 여러 이론과,수학교육론,(Theory of Mathematics Education),", , , STEAM 교육을 개관하고 그래픽 계 , 산기와 같은 공학도구의 활용.",140
TTP4010 수리논리의 기본적인 내용을 다루고 수학 전반에 걸친 여러 중요한 이론의 내용과 그 전개과정이 내포하고 있는 철학적 의미를 ·,수리논리및논술,(Mathematical Logic and Essay Writing),". 살펴본다 글쓰기의 정의 창의적인 사고력 교과간의 소통 주입식교육에서 자기주도적 교육 . ◎ 대학원 연계과목 ▸ 대수학( 군 (Structure Theorem for f.g. Abelian Groups), Jordan-Holder (Sylow's Theorem), 환 ； Theorey) (Rings) (UFD), 다항식환 역 Correspondence and Applications), Extensions), Ⅰ (Groups) )(Algebra( )) 군의 작용 Ⅰ ： (Direct and Semidirect Product), 의 정리 (Free Group and presentations), 주아이디얼정역 (Commutative Rings) ； (Transcendental Numbers), (Group Actions), 직적과 반직적 유한생성 가환군의 기본정리 정리 (Further Topics in Group 유일인수분해정 (The Galois (Galois (Jordan-Holder Theorem), Sylow 군의 고급이론 자유군과 군표현 유클리드정역 (Polynomial Rings), (Euclidean Domains), (Principal Ideal Domains), (Field) 체 갈루와군 ： 가환환 갈루와 대응과 응용 ： (Galois Group), 초월수 갈루와확장 (Skew Field Theory) 비가환체 이론 이과대학 ■ 139",140
PHY2105,물리학실험,"(A-1)(Physics Lab(A-1)) ,","직류 및 교류의 전류와 전압과 관련된 기본회로 저항 축전기 인덕트 등 선형 전자요소 회로를 비롯하여 다이오드 트랜지스터 OP-amp, 선수추천과목 일반물리학 및 실험 , , , 전원장치의 특성 및 설계 등에 대한 기본 이론과 실험 교육을 통하여 실험물리학을 위한 전자공학적 이해를 구함 (1), (2) : PHY3101, 3102 (1), (2) (Quantum Mechanics(1), (2)) 양자역학 고전역학의 개요 고전양자론 , 산란문제 다체문제 , 선수추천과목 일반역학 , , 방정식 구대칭계의 문제 각 운동량 건드림이론 변분법 , Schroedinger , , , WKB : (1), (2) 고등미적분학 (1), (2), 근사법 , ,",145
"PHY3103, 3104",전자기학,"(1), (2) (Electromagnetism(1), (2)) ,",", , 자유전자의 전기장 유전체이론 정전에너지 전류 및 직류회로의 기본개념 자기학 전자유도 물질의 자기적 성질 교류이론 , 의 방정식 및 전자파이론 Maxwell 선수추천과목 일반물리학 및 실험 , , (1), (2) 고등미적분학 : 통계물리학 , : (1), (2), (Statistical Physics)",145
PHY3106,", Maxwell-Boltzmann (1), (2),",,", 양자역학 열물리학 (1), 고전 통계 역학 기체운동론 선수추천과목 일반물리학 및 실험 , Bose-Einstein 통계 양자 통계 역학 통계 , Fermi-Dirac 통계 , , ,",145
"PHY3107, 3108",물리학실험,"(B-1), (B-2) (Physics Lab(B-1), (B-2))","마이크로파 전자의 기본실험 선수추천과목 일반물리학 및 실험 , e/m , Franck-Hertz 측정 : (1), (2) 실험 광학실험 밀리컨 기름방울 실험 등 물성 공학 및 현대물리에 관한 , , , ,",145
"PHY3110, 3111 , ,","일반역학 (1), (2) (Mechanics(1),(2)) , ,",,", 백터 질점역학 조화운동 감쇠 및 강제진동 강체역학 세차운동 방정식 최소작용의 원리 선수추천과목 일반물리학 및 실험 , : (1), (2), 미적분학 (1), (2) , Euler 방정식 해석역학 , Lagrange 의 방정식 , Hamilton 의 2. 전공선택",145
"PHY2103, 2104","현대물리학 ,","(1), (2) (Modern Physics(1), (2))","상대성이론 빛의 양자이론 물질파 양자역학입문 원자구조 분자구조 통계역학 고체 핵 및 소립자 , 선수추천과목 일반물리학 및 실험 , (1), (2) , , , , , : .",145
PHY2106,"물리학실험 ,","(A-2) (Physics Lab(A-2)) ,","로직게이트 플립플랍 카운터 메모리 , 마이크로컴퓨터의 제작과 기계언어프로그래밍 등에 대한 디지털 회로에 대한 기본 이론과 실험교육을 통하여 실험 물리학을 위한 전자공학적 지식을 습득함 선수추천과목 일반물리학 및 실험 : , , PLL 등 디지털 회로의 구성요소에서 출발하여 A/D, D/A 등의 입출력회로 (1), (2)",145
PHY3105,열물리학,"(Thermal Physics) 2 1 (1), (2)","온도와 엔트로피 열역학의 제 법칙과 제 법칙 이상기체의 상태 방정식과 실제 기체 상변화와 임계현상 , 선수추천과목 일반물리학 및 실험 : , ,",145
PHY3108,물리학실험,"(B-2) (Physics Lab(B-2)) ,",", OP-amplifier : 전산물리 , , , 응용회로 공학실험 홀 효과 실험 등 물성 광학 및 현대물리에 관한 기본실험 . 홀로그램제작 선수추천과목 일반물리학 및 실험 (1), (2) (Computational Physics)",145
PHY3109,쉬레딩거 방정식 열 확산 방정식등과 같이 다양한 물리 현상을 기술하는 식들의 해를 수치 해석적인 방법을 이용하여 구하고 몬테 칼로법 분자역학 시늉법 대각화법등을 이용하여 다체계를 분석하는 방법,,", , ,",145
"PHY4101, 4102","고체물리학 ,","(1), (2) (Solid State Physics(1), (2)) ,",", 결정구조 회절과 격자 격자진동과 고체의 비열 금속의 비열 금속의 자유전자 모형 고체의 밴드이론 반도체 자성 유전성 초전도 선수추천과목 양자역학 , , , , 전자기학 (1), (2), : (1), (2) ,",145
PHY4107,반도체소자물리 반도체의 특성을 시발점으로 하여 . 기초적 응용적인 면에서 폭넓게 강의됨,(Semiconductor Device Physics),"metal/semiconductor junction, p-n junction, MOSFET, JFET , 등의 동작원리가 144 ■ 2025 연세대학교 대학요람",145
PHY4108,응용물리입문,(Introduction to Applied Physics),다양한 박막생장 방법 및 물리적 성질측정 방법에 대한 소개,146
PHY4109,"입자물리학 소립자의 분류 강한 상호작용 전자기력 약한 상호작용 양자장이론 게이지이론 통일장이론 , 선수추천과목 양자역학 : 핵물리학","(Introduction to Particle Physics) ,",", (1), (2) , , , (Introduction to Nuclear Physics) ,",146
PHY4113,원자핵의 기본성질 핵구조 붕괴 및 반응 상대론적 중이온 충돌 상대론적 양자역학 양자 색역학 선수추천과목 양자역학,,", , (1), (2) , , :",146
"PHY4115, 4116 , 회절",광학,"(1),(2) (Optics (1), (2)) ,","렌즈 및 프리즘 근축광학계의 원리 광학계 설계 색수차 단색수차 빛의 파동성 편광 간섭이론 간섭계 가간섭계 회절이론 Fraunhofer , , , , , , , , Fresnel 이론 . , , 고급양자역학 , , : PHY4205, 4206",146
PHY4117,(Advanced Quantum Mechanics),,"섭동이론 산란 원자 스펙트럼 빛의 흡수와 방출 다체계 경로적분법 상대론적 양자역학 선수추천과목 양자역학 , , (1), (2) , , (1), (2)(Mathematical Physics(1), (2)) 수리물리학 및 Vector Tensor 선수추천과목 고등미적분학 : 해석 좌표계 , , Linear Vector Space, Special Function. (1), (2)",146
PHY4207,생물물리,(Bio Physics),물리를 이용하여 생체 내에서 일어나는 현상이나 생체물질의 구조를 설명하고자 함.,146
PHY4208,일반상대성이론,(Introduction to General Relativity),특수 상대성을 일반화한 일반 상대성은 중력방적식을 기술한다 일반 상대성의 기본적인 결과들을 살펴보고 그 특성을 토론한다 . .,146
